Group_Hypothesis,Sub_Hypothesis,Description,Expression
Short-Term Reversal,Short-Term Overreaction Reversal,Stocks experiencing the largest one-day price drop will exhibit a positive return over the next two days.,Signal = Rank(1-day % change in price) * -1; Long stocks with negative Signal
Short-Term Reversal,Volatility-Driven Reversal,Stocks with the highest volatility (measured by ATR) over the past week will exhibit lower volatility and potentially positive returns in the next few days.,Signal = Rank(Average True Range (7-day)) * -1; Long stocks with negative signal
Smaller Cap Outperformance,Debt Reduction,Stocks that significantly reduce their debt-to-equity ratio will outperform.,signal = (DebtToEquity(t-1) - DebtToEquity(t)) / DebtToEquity(t-1)
Post-Earnings Volatility,High Volatility Mean Reversion,Stocks experiencing high volatility around earnings announcements will see a reduction in volatility within the next 5 days.,"signal = avg(abs(closePrice[t] - closePrice[t-1]), window=5) - avg(abs(closePrice[t] - closePrice[t-1]), window=20)"
Post-Earnings Volatility,Volatility-Driven Price Reversal,High post-earnings volatility predicts a price reversal in the opposite direction within 3 trading days.,"signal = -1 * stddev(closePrice, window=1) * sign(closePrice[t]-closePrice[t-1])"
Sentiment Analysis,Positive Sentiment Outperformance,Stocks with overwhelmingly positive news sentiment surrounding their earnings announcement will outperform.,Signal = (Positive_Sentiment - Negative_Sentiment) / Total_Sentiment; Higher Signal => Stronger BUY
Volatility,High Volatility Breakout,A significant price increase following a period of high volatility suggests a bullish breakout.,"signal = (price - SMA(price, 20)) / stddev(price, 20) * (volatility / avg_volatility)"
Momentum,5-Day Positive Volume,Assets with consistently high volume over the past 5 days will exhibit higher returns in the following 3 days.,Signal = sum(Volume[t-4:t])
Momentum,Moving Average Convergence Divergence (MACD) Crossover,A MACD line crossing above its signal line indicates a bullish momentum signal.,"signal = 1 if MACD(price, 12, 26, 9)[t] > MACDsignal(price, 12, 26, 9)[t] else 0"
Momentum,Correlation with Sector Index,Assets with high positive correlation to their sector index over the past week will outperform the sector in the next 2 days.,"Signal = Corr(AssetPrice[t-6:t], SectorIndex[t-6:t])"
Momentum,Sentiment Score Increase,A recent increase in positive news sentiment predicts continued short-term price appreciation.,signal = sentiment_score[t] - sentiment_score[t-5]
Momentum,P/E Ratio Change,Assets with a decreasing P/E ratio in the last 5 days tend to outperform in the next 2 days.,Signal = (PE_Ratio[t-5] - PE_Ratio[t]) / PE_Ratio[t-5]
Undervalued Assets Outperformance,Low Debt/Equity Ratio Momentum,Companies with low debt-to-equity ratios and increasing profitability will show strong price growth.,Signal = (1 / Debt_Equity_Ratio) * (Profitability_Growth_Rate)
Undervalued Assets Outperformance,Free Cash Flow Yield Superiority,Stocks with high free cash flow yields compared to their market capitalization will produce above-average returns.,Signal = Free_Cash_Flow / Market_Cap
Undervalued Assets Outperformance,Cash Flow to Price Ratio Strength,Assets with a high ratio of operating cash flow to price will generate superior returns over time.,Signal = Operating_Cash_Flow / Price
Volatility-Based Mean Reversion,Volatility-Adjusted Bollinger Band Reversion,Prices tend to revert to the mean of the volatility-adjusted Bollinger Bands after a breach.,signal = (BB_mid - Price) / BB_stddev where BB_mid and BB_stddev are the mid-band and standard deviation of a volatility-adjusted Bollinger Band
Volatility and Momentum,Volatility-Driven Momentum Shift,"High volatility periods precede shifts in momentum, offering short-term trading opportunities.",signal = (Volatility_10D * Momentum_5D) where Volatility_10D is 10-day volatility and Momentum_5D is 5-day price momentum
Volatility and Volume,Volume Spike Post-Volatility,"High volume follows periods of high volatility, indicating potential continuation.",signal = Volume_current / AVG(Volume_10D) where AVG(Volume_10D) is the 10-day average volume
Volatility and Sentiment,Fear-Greed Index and Volatility,Extreme fear (low Fear-Greed Index) during high volatility periods signal buying opportunities.,signal = (Volatility_20D * (1 - Fear_Greed_Index)) where Volatility_20D is 20-day volatility and Fear_Greed_Index is normalized (0-100)
Correlation and Volatility,Cross-Asset Correlation Breakdown,Decreased correlation between asset classes during high market volatility suggests arbitrage opportunities.,"signal = (1 - Correlation_XY) * Volatility_X where Correlation_XY is the correlation between assets X and Y, and Volatility_X is the volatility of asset X"
Volatility and Sector Rotation,Volatility-Based Sector Rotation,Sectors with lower volatility during periods of high overall market volatility tend to outperform.,signal = (Overall_Market_Volatility - Sector_Volatility) / Overall_Market_Volatility
Volatility and P/E Ratio,Volatility and Valuation,High volatility combined with high P/E ratios signals potential for price corrections.,signal = (Volatility_30D * P/E_Ratio) / (Price)
Volatility Clustering,Volatility Clustering Persistence,"Periods of high volatility tend to cluster, providing opportunities to capitalize on continued volatility.",signal = Volatility_nD - Volatility_(n-1)D where Volatility_nD is n-day volatility
Liquidity-Based Price Reversion,5-Day Liquidity-Adjusted Price Reversion,Assets with high recent liquidity that experience a sharp price drop are expected to revert to their mean within five days.,Signal = -1 * (Price_t - Avg(Price_{t-5:t})) / (Avg(Volume_{t-5:t}) * Price_t)
Liquidity and Volatility,Liquidity-Volatility Spread,The spread between the implied volatility of a highly liquid asset and a less liquid asset with similar characteristics predicts relative future returns.,Signal = IV_Liquid - IV_Illiquid
Liquidity and Momentum,Liquidity-Weighted Momentum,Momentum strategies are enhanced by weighting assets based on their liquidity.,Signal = SUM(Return_{t-n:t} * Liquidity_t) where n is the momentum lookback period
Liquidity and Value,Liquidity Premium on Value Stocks,Highly liquid value stocks (low P/E) outperform less liquid value stocks.,Signal = P/E_t / Liquidity_t
Liquidity and Sentiment,Liquidity-Adjusted Sentiment,Sentiment indicators are more predictive for highly liquid assets.,Signal = Sentiment_t * Liquidity_t
Liquidity and Correlation,Illiquidity-Beta Relationship,The beta of an illiquid asset relative to its liquid counterpart predicts future return spread.,Signal = Beta_Illiquid - Beta_Liquid
Liquidity and Market Depth,Depth-Liquidity Ratio,A higher ratio of market depth to liquidity suggests greater price stability and lower future returns.,Signal = -1 * (MarketDepth / Liquidity)
Liquidity and Trading Costs,Liquidity-Adjusted Trading Costs,Assets with high liquidity relative to their trading costs generate higher risk-adjusted returns.,Signal = (Return_t - TransactionCost_t) / Liquidity_t
Liquidity and Order Book Dynamics,Order Book Imbalance in Liquid Assets,The order book imbalance (bid-ask ratio) in highly liquid assets predicts short-term price movements.,Signal = BidVolume / AskVolume (for liquid assets only)
Liquidity and News Impact,News Sensitivity to Liquidity,The impact of news events on asset prices is dampened by high liquidity.,Signal = NewsSentiment * (1/Liquidity)
Mean Reversion,Correlation Reversion (SPY),"When the correlation between a stock and SPY drops significantly below its 30-day average, a mean reversion in correlation is expected.",signal = (Correlation30d - Correlation) * 100
Momentum,Price Change Acceleration,Assets showing increasing positive price change momentum over the past 10 days will outperform.,Momentum_Signal =  (Price[t]-Price[t-5]) - (Price[t-5]-Price[t-10])
Momentum,Sentiment-Boosted Momentum,Assets with high positive sentiment and strong recent price performance will outperform.,Momentum_Signal = (Price[t] / Price[t-5]) * Sentiment_Score[t]
Momentum,Short-Term Reversal (5-day),Assets with recent negative price performance will experience a short-term price reversal.,Momentum_Signal = - (Price[t] / Price[t-5]) + 1
Volatility Changes Predict Returns,Volatility Compression Rebound,A period of low volatility followed by a sudden increase predicts a subsequent price increase.,"signal = (stddev(close_price, window=20) < 0.5 * avg(stddev(close_price, window=20), window=60) ) && (stddev(close_price, window=5) > 1.2 * stddev(close_price, window=20)) ? 1 : 0"
Volatility Changes Predict Returns,Fear Index Crossover,"When the VIX falls below its 20-day moving average, it predicts higher future returns.","signal = (vix < MA(vix,20)) ? 1 : -1"
Volatility Changes Predict Returns,Sentiment-Volatility Divergence,High volatility despite positive sentiment suggests an upcoming correction.,"signal = (stddev(close_price, window=10) > threshold) && (sentiment_score > positive_threshold) ? -1 : 0"
Volatility Changes Predict Returns,Volatility Skew,A higher skew in the volatility distribution predicts lower returns.,Signal = -1 * skewness(returns(30))
Liquidity Increase and Price Volatility,Increased Liquidity Volatility,A sharp increase in trading volume is followed by increased price volatility in the short term.,Signal = StdDev(Price(t-n:t)) / Avg(Volume(t-n:t))
Liquidity and Price Correlation,Volume-Price Correlation Break,A significant deviation from the historical correlation between price and volume suggests a potential price reversal.,"Signal = Correlation(Price(t-n:t),Volume(t-n:t)) - Correlation(Price(t-2n:t-n),Volume(t-2n:t-n))"
Illiquidity and Short-Term Price Drops,Illiquidity Squeeze,Low volume periods followed by sharp price drops indicate a potential liquidity squeeze.,Signal = (Volume(t) < 0.5 * Avg(Volume(t-n:t-1))) & (Price(t) < 0.95* Price(t-1))
Liquidity and P/E Ratio,Volume-P/E Ratio Disparity,High volume coupled with an unusually low P/E ratio might indicate undervaluation and potential price increase.,Signal = Volume(t) / P/E(t)
Liquidity and Order Book Imbalance,Order Book Imbalance & Volume,High volume coupled with a significant imbalance between buy and sell orders signals a potential trend continuation.,Signal = (BidVolume(t) - AskVolume(t))/Volume(t)
Liquidity and Market Breadth,Volume and Market Breadth,"High volume coupled with improving market breadth (e.g., advancing-declining ratio) strengthens bullish momentum.",Signal = Volume(t) * (AdvancingIssues(t)/DecliningIssues(t))
News Sentiment and Price Movement,News Source Weighted Sentiment,Sentiment from reputable news sources carries more weight in predicting price movements.,Signal = Σ(Weight<sub>i</sub> * Sentiment<sub>i</sub>) where Weight<sub>i</sub> represents source reliability.
Carry,High Yield Bond Spread,High-yield corporate bonds with a widening spread relative to government bonds will outperform.,"Signal = (HighYieldSpread - Avg(HighYieldSpread, 1 month))"
Carry,Seasonality Carry,High-yield assets tend to outperform during specific months of the year.,Signal = Yield * SeasonalFactor(Month)
Correlation Arbitrage,Sentiment Discrepancy,Disparate news sentiment scores for two highly correlated assets predict a price convergence.,signal = sentiment_score(asset1) - sentiment_score(asset2)
Correlation Arbitrage,Basis Trading,A widening basis between the futures price and spot price of a commodity predicts convergence.,signal = futures_price - spot_price
Sentiment-Driven Price Reversion,News Volume & Price Correlation,High news volume correlating negatively with price predicts a price rebound.,"Signal = -1 * Correlation(NewsVolume, Price, window=7)"
Sentiment-Volume Interaction,Sentiment-Amplified Volume,High trading volume combined with strong positive sentiment predicts higher returns in the next 2 days.,Signal = SentimentScore * Volume; // Product of sentiment score and trading volume
News-P/E Ratio Interaction,Undervalued Positive News,Stocks with low P/E ratios and positive news outperform stocks with high P/E ratios and positive news.,Signal = (NewsSentimentScore > 0) ? (1 / P_E) : 0; // Inverse of P/E for positive news
News-P/E Ratio Interaction,Overvalued Negative News,High P/E ratio stocks with negative news underperform the market in the next week.,Signal = (NewsSentimentScore < 0 && P_E > 20) ? -1 : 0; // -1 if condition is met
Sentiment Volatility,Mean Reversion of Sentiment Volatility,High sentiment volatility tends to revert to the mean over the next 3 days.,"Signal = AVG(STDEV(SentimentScore, 5), 10) - STDEV(SentimentScore,5); // Difference between mean and current volatility"
Market Sentiment,Social Media Momentum,Increasing social media mentions with positive sentiment predict price increases.,"signal = diff(sum(social_media_sentiment, 5))"
Market Sentiment,Sentiment-Based Trading Volume,"High positive sentiment leads to increased trading volume, predicting further price increases.","signal = sentiment_score * (volume - avg(volume, 20))"
Volume Spike Reversion,10-Day Volume Mean Reversion,Above-average volume followed by below-average volume predicts a price movement towards the 10-day moving average.,Signal = (Volume[t] - AVG(Volume[t-9:t])) / AVG(Volume[t-9:t]) * (Price[t] - AVG(Price[t-9:t])) / AVG(Price[t-9:t])
Volume and Price Momentum,Volume-Weighted Price Change,Higher volume on up days compared to down days over a period predicts continued price increases.,Signal = SUM(Volume[t-n:t] * (Price[t]-Price[t-1])) / SUM(Volume[t-n:t])  where n is the lookback period
Volume and Price Momentum,Volume Confirmation of Price Breakout,A price breakout above resistance accompanied by significantly increased volume predicts further price appreciation.,Signal = 1 if (Price[t] > Resistance AND Volume[t] > AVG(Volume[t-n:t])*k) else 0; k > 1
Unusual Volume Patterns,Sudden Volume Dry-Up,A sudden and sustained drop in volume after a period of high volume predicts a near-term price correction.,Signal = -1 * (AVG(Volume[t-n:t]) / AVG(Volume[t-2n:t-n])) where n is the lookback period
Volume and Sentiment,Sentiment-Adjusted Volume,"High volume coupled with negative sentiment predicts a price decline, and vice-versa.",Signal = Volume[t] * Sentiment[t] where Sentiment[t] is a normalized sentiment score (-1 to 1)
Volume and Market Breadth,Volume and Advance-Decline Ratio,High volume with a declining advance-decline ratio suggests a weakening market and potential price drop.,Signal = -1 * Volume[t] * (1 - AdvanceDeclineRatio[t])
Volume and Market Capitalization,Volume/Market Cap Ratio,A significant increase in the volume-to-market cap ratio indicates higher trading interest and potential price movement.,Signal = Volume[t] / MarketCap[t]
Statistical Arbitrage: Pair Trading,Mean Reversion Momentum,Stocks that experience a sharp price drop relative to their moving average will exhibit mean reversion momentum.,Signal = (Price - 20-Day MA) / 20-Day Volatility
Statistical Arbitrage: Index Tracking,Index ETF Arbitrage,Price discrepancies between an index ETF and its underlying components offer arbitrage opportunities.,Signal = ETFPrice - (Sum(ComponentPrices * Weights))
Volatility and Sector Rotation,Sector Volatility,Sectors experiencing a sudden increase in volatility tend to underperform in the short term.,"signal = -delta(stddev(sector_index), window=5)"
Statistical Arbitrage: Quantitative Value,Dividend Yield Spread,A high dividend yield relative to a benchmark will predict future outperformance.,Signal = (StockDividendYield - BenchmarkDividendYield) / BenchmarkVolatility
Relative Strength,Value-Weighted Relative Strength,Assets with high relative strength and low P/E ratios outperform assets with high relative strength and high P/E ratios.,"value_weighted_rs = RelativeStrength(Asset, Benchmark) / PE_Ratio(Asset)"
Relative Strength,Volume-Adjusted Relative Strength,Assets with high relative strength and increasing trading volume outperform assets with high relative strength and decreasing volume.,"volume_adj_rs = RelativeStrength(Asset, Benchmark) * (Volume(Asset) / AVG(Volume(Asset), 20))"
Relative Strength,Sentiment-Boosted Relative Strength,Assets with high relative strength and positive sentiment scores outperform assets with high relative strength and negative sentiment.,"sentiment_rs = RelativeStrength(Asset, Benchmark) * (1 + SentimentScore(Asset)/100)"
Growth Stock Outperformance,High Forward P/E Ratio,Stocks with high forward P/E ratios relative to their growth rate will outperform the market (within a growth sector).,Signal = Forward P/E / (Expected 5-Year EPS Growth Rate); Outperform = Signal > Sector Median
Growth Stock Outperformance,Strong Sales Growth vs. Peers,Stocks with significantly higher sales growth compared to their industry peers will generate alpha.,Signal = (Stock Sales Growth - Industry Median Sales Growth) / Industry Median Sales Growth; Outperform = Signal > 0.2
Growth Stock Outperformance,High Growth and Low Debt,Companies with high revenue growth and low debt-to-equity ratios will outperform those with high debt.,Signal = Revenue Growth Rate / Debt-to-Equity Ratio; Outperform = Signal > 1
Low Volatility Alpha,Volume Surge After Low Volatility,A sudden increase in trading volume after a period of low volatility is predictive of positive price movement in low volatility stocks.,signal = (volume[-1] / average(volume[-20:])) * (1 - stddev(close_price[-20:]))
Earnings Surprise,Surprise Magnitude Scaling,The magnitude of the earnings surprise is directly proportional to the subsequent price change.,Signal = (Actual EPS - Expected EPS) / Expected EPS
Earnings Surprise,Beta Sensitivity,The price reaction to earnings surprise is higher for stocks with high beta.,Signal = (Actual EPS - Expected EPS) * Beta
Earnings Surprise,Industry Correlation Effect,The impact of earnings surprise is amplified if industry peers also report positive surprises.,Signal = (Actual EPS - Expected EPS) * Industry average earnings surprise
Volume Spike,Volume Spike and Relative Strength Index (RSI) Divergence,A volume spike with a bullish RSI divergence suggests a potential price reversal.,"IF (Volume[t] > 2 * Avg(Volume[t-20, t-1]) AND RSI[t] < RSI[t-1] AND Price[t] > Price[t-1]) THEN Signal = 1 ELSE Signal = 0; Buy if Signal = 1"
Volume Spike,Volume Spike and Accumulation/Distribution,High volume coupled with a positive Accumulation/Distribution (A/D) line indicates buying pressure.,"IF (Volume[t] > 2 * Avg(Volume[t-20, t-1]) AND AD_Line[t] > AD_Line[t-1]) THEN Signal = 1 ELSE Signal = 0; Buy if Signal = 1"
News Sentiment Impact on Price,Positive News Bounce,Stocks with overwhelmingly positive news sentiment will experience a short-term price increase.,"IF (Avg(NewsSentimentScore, past 24h) > 0.7) THEN Signal = 1 ELSE Signal = 0"
News Sentiment and Volatility,Fear-Driven Overreaction,Extreme negative news sentiment coupled with high volatility leads to short-term price reversal.,"Signal = -1 * (Max(Volatility, past 24h) * Avg(NewsSentimentScore, past 12h))"
News Sentiment and P/E Ratio,Undervalued Bounce,Stocks with low P/E ratios and positive news sentiment exhibit stronger price increases.,"Signal = (1 / P/E_Ratio) * Avg(NewsSentimentScore, past 7 days)"
News Event Timing,After-Hours News Impact,Positive news released after market hours leads to a higher opening price the next day.,IF (AfterHoursNewsSentiment > 0.5) THEN Signal = 1 ELSE Signal = 0
News Sentiment and Short Interest,Short Squeeze Trigger,High short interest combined with positive news sentiment increases the likelihood of a short squeeze.,"Signal = ShortInterestRatio * Avg(NewsSentimentScore, past 24h)"
Price and Volume Patterns,Descending Triangle Breakdown,A breakdown below the lower trendline of a descending triangle pattern predicts a price decline.,IF (DescendingTriangleBreakdownDetected()) THEN Signal = -1 (Sell) ELSE Signal = 0
Price and Volume Patterns,Wedge Pattern Breakdown,A breakdown below the lower trendline of a symmetrical wedge pattern signals a downward price movement.,IF (WedgePatternDetected() == TRUE AND Price[t] < LowerTrendline AND Volume[t] > AVG(Volume[t-20]) * 1.2) THEN SELL ELSE NO ACTION
Price and Volume Patterns,Moving Average Convergence Divergence (MACD) Reversal,A bearish divergence between price and MACD indicates a potential price reversal.,IF (Price[t] MakesHigherHigh() AND MACD[t] MakesLowerHigh() ) THEN SELL ELSE NO ACTION
News/Earnings Impact,Guidance Surprise Momentum,Positive guidance surprises lead to sustained upward momentum for at least 5 trading days.,"Signal = (Actual Guidance - Expected Guidance) / Expected Guidance; Buy if Signal > 0.05, Hold for 5 days"
News/Earnings Impact,Correlation to Sector Shift,Stocks that show a decrease in correlation to their sector after an earnings announcement underperform.,Signal = (Pre-announcement Sector Correlation - Post-announcement Sector Correlation); Sell if Signal > 0.2
News/Earnings Impact,Short-Term P/E Ratio Adjustment,A significant increase in P/E ratio post-earnings is unsustainable in the short term.,Signal = (Post-announcement P/E Ratio - Pre-announcement P/E Ratio) / Pre-announcement P/E Ratio; Short if Signal > 0.15
News/Earnings Impact,Analyst Rating Upgrade Impact,Stocks with an analyst rating upgrade after earnings announcement outperform the sector in the subsequent week.,"Signal = 1 if Analyst Rating Upgraded, 0 otherwise; Buy if Signal == 1"
News/Earnings Impact,Unexpected Revenue Beat,Stocks exceeding revenue expectations by a significant margin outperform for the next two weeks.,Signal = (Actual Revenue - Expected Revenue) / Expected Revenue; Buy if Signal > 0.1; Hold for 10 days
Arbitrage: Exploiting pricing discrepancies between related assets,ETF vs. Underlying Discrepancy,The price difference between an ETF and its underlying assets will revert to a fair value based on NAV.,signal = (ETF_price - NAV) / NAV
Arbitrage: Exploiting pricing discrepancies between related assets,Futures-Spot Basis Trade,The basis (difference between futures and spot price) of a commodity will converge to a historically normal range.,"signal = (futures_price - spot_price) - avg(futures_price - spot_price, 30 days)"
Arbitrage: Exploiting pricing discrepancies between related assets,Options Implied Volatility Squeeze,"Options implied volatility will converge to realized volatility, presenting arbitrage opportunities.",signal = implied_volatility - realized_volatility
Arbitrage: Exploiting pricing discrepancies between related assets,Bond Arbitrage: Yield Curve Mispricing,Mispricings in the yield curve between bonds of similar maturity and credit rating will present arbitrage opportunities.,signal = yield_bondA - yield_bondB (where bondA and bondB are similar)
Carry Trade,Currency Pair Valuation,Undervalued high-yielding currencies relative to low-yielding currencies lead to superior carry trade returns.,Signal = (Yield_High - Yield_Low) * (FairValue_High / Price_High - 1)
Bull Market Regime,High PE Momentum,Stocks with high P/E ratios that have recently shown strong price momentum will continue to outperform in a bull market.,Signal = (P/E_t) * (ΔPrice_t/Price_t-1) ;  High Signal indicates strong momentum
Bull Market Regime,Growth Sector Leadership,Stocks in high-growth sectors will outperform the broader market in a bull market.,Signal = SectorGrowthRate_t * StockReturn_t;  High Signal indicates outperformance
Bull Market Regime,Increased Volume Breakout,Stocks experiencing a significant increase in trading volume alongside price appreciation will continue upward in a bull market.,Signal = ΔVolume_t * ΔPrice_t; High Signal shows strong volume-price correlation
Bull Market Regime,Small-Cap Outperformance,Small-cap stocks will outperform large-cap stocks during a bull market.,Signal = (SmallCapReturn_t) - (LargeCapReturn_t); Positive signal indicates small-cap outperformance
Bull Market Regime,Industry Rotation (Tech),Technology sector stocks will outperform other sectors in a bull market.,Signal = TechSectorReturn_t - MarketReturn_t; High signal means tech outperformance
Bull Market Regime,Strong Correlation to Market,Stocks with high positive correlation to the overall market will outperform during a bull market.,"Signal = Correlation(StockReturn, MarketReturn); Higher correlation indicates stronger market following"
Earnings Surprise,Long-Term Beta Adjustment,Positive earnings surprises lead to an upward adjustment of the stock's beta over the next quarter.,Signal = (Earnings_Reported - Earnings_Expected); Beta_Adjustment = Beta[t+60] - Beta[t]
Earnings Surprise & Post-Announcement Drift,Market-Adjusted Drift,The magnitude of post-earnings drift is higher when the market is trending downwards.,Signal = (Actual EPS - Expected EPS) / Expected EPS * (ClosePrice_t+5 - ClosePrice_t) / ClosePrice_t * (1 - MarketReturn_t+5)
Low Liquidity Alpha,Bid-Ask Spread Exploitation,Wide bid-ask spreads in illiquid markets create opportunities by buying at the bid and selling at the ask.,Signal = (Ask[t] - Bid[t]) / Bid[t] if Volume[t] < 0.1 * Avg(Volume[t-100:t]); else Signal = 0
Earnings Surprise,EPS_Beat_Momentum,Stocks that beat EPS expectations will exhibit positive momentum for the following week.,Signal = (Actual EPS - Expected EPS) / Expected EPS * (Weekly Price Change)
Earnings Surprise,Revenue_Beat_Reversion,Stocks that beat revenue expectations will experience price reversion to the mean over the next 5 days.,Signal = (Actual Revenue - Expected Revenue) / Expected Revenue * (5-Day MA Price - Current Price)
Earnings Surprise,Guidance_Impact,Positive guidance revisions will lead to higher returns than negative revisions in the following month.,Signal = (Positive Guidance Change - Negative Guidance Change) * Monthly Return
Post-Earnings Volatility,Volatility_Decay,Post-earnings announcement volatility will decay exponentially over the next 5 trading days.,Signal = exp(-t/5) * (Post-earnings volatility)
Post-Earnings Volatility,Volume_Spike_Reversal,A large volume spike on the earnings announcement day predicts a price reversal in the following 2 days.,Signal = (Announcement Day Volume / Average Volume) * (2-Day Price Change)
Sentiment Analysis,News_Sentiment_Momentum,Positive news sentiment surrounding earnings announcements predicts higher returns in the subsequent week.,Signal = (Positive Sentiment Score - Negative Sentiment Score) * Weekly Return
Sentiment Analysis,Analyst_Sentiment_Reversion,A high degree of positive analyst sentiment before earnings will lead to price reversion post-announcement.,Signal = Pre_Announcement Analyst Sentiment Score * (Post-Announcement Price Change)
P/E Ratio,PE_Surprise_Ratio,The ratio of EPS surprise to P/E ratio predicts short-term price movement.,Signal = (Actual EPS - Expected EPS) / Expected EPS / P/E Ratio
P/E Ratio,PE_Expansion_Contraction,"Positive EPS surprises lead to P/E expansion, while negative surprises lead to contraction.",Signal = (Actual EPS - Expected EPS) / Expected EPS * (Change in P/E Ratio)
Correlation Analysis,Sector_Correlation_Impact,The correlation between a stock's price and its sector's average price changes after earnings announcements predicts its future performance.,"Signal = (Correlation(Stock Price, Sector Average Price) - Pre-Announcement Correlation) * Future Return"
Volatility Clustering,Volatility Gap Reversion,Large absolute differences between consecutive days' volatility revert toward the mean.,"signal = -abs(volatility(close_price, 1) - volatility(close_price, 1, shift=1))"
Volatility Clustering,Correlation with VIX,High correlation between asset's volatility and VIX implies persistence of high volatility.,"signal = corr(rolling_volatility(close_price, 20), VIX, window=20)"
Volatility Clustering,Volatility Threshold,"If volatility exceeds a threshold, it's likely to persist above that threshold for a short period.","signal = 1 if rolling_volatility(close_price, 20) > volatility_threshold else 0"
Correlation Exploiting,Short-Term Correlation Spike,"A sudden, short-lived surge in correlation between two assets, followed by a sharp decline, suggests a contrarian short position.","signal = max(corr(AssetA_price_1h, AssetB_price_1h)) - corr(AssetA_price_1d, AssetB_price_1d)"
Correlation Exploiting,20-Day Moving Average Correlation Crossover,A crossover of the 20-day moving average of asset correlation signals a shift in market dynamics.,"Signal = MA(corr(Price_A, Price_B), 20)[t] - MA(corr(Price_A, Price_B), 20)[t-1]"
Correlation Exploiting,Sector-Specific Correlation Deviation,A deviation of a specific asset's correlation with its sector from its historical average creates a trading opportunity.,"Signal = abs(corr(Asset_Price, Sector_Index) - avg(corr(Asset_Price, Sector_Index)[t-N:t]))"
Correlation Exploiting,Long-Term Correlation Decay,A gradual decrease in the long-term correlation between two assets signals a potential short-term divergence in their prices.,"Signal =  -1 * Corr(Price_AssetA[t-100:t], Price_AssetB[t-100:t]) + Corr(Price_AssetA[t-30:t], Price_AssetB[t-30:t])"
Interest Rate Sensitivity,Short-Term Rate Hike Precursor,Unexpected increases in short-term interest rates negatively impact growth stocks.,Signal = (Current Fed Funds Rate - Previous Month Fed Funds Rate) / Previous Month Fed Funds Rate
Interest Rate Sensitivity,Inflationary Pressure,Rising inflation negatively impacts bond prices and some equity sectors.,Signal = CPI Inflation Rate - Average CPI Inflation Rate (past 12 months)
Interest Rate Sensitivity,Real Interest Rate Differential,A widening gap between nominal and inflation-adjusted interest rates predicts market volatility.,Signal = Nominal Interest Rate - Inflation Rate
Interest Rate Sensitivity,Bond Yield Predictability,High and rising bond yields predict lower future equity returns.,Signal = 10Y Treasury Yield
Economic Growth,Consumer Confidence Indicator,Rising consumer confidence predicts increased consumer spending and economic growth.,Signal = Consumer Confidence Index - Average Consumer Confidence Index (past 6 months)
Economic Growth,Housing Starts Indicator,Increased housing starts suggest economic expansion and positive market sentiment.,Signal = Housing Starts - Average Housing Starts (past 12 months)
Volume Anomaly,Volume-Based Relative Strength (VRS),"A high VRS ratio, calculated as the ratio of volume to a moving average of volume, points to stronger price trends.","Signal = Volume[t] / MA(Volume[t], period)"
Volume Anomaly,Moving Average Convergence Divergence (MACD) with Volume,High volume confirming a MACD crossover suggests stronger price movements in the direction of the crossover.,Signal = MACD[t] * Volume[t]
Volume Anomaly,Unexpected Volume Increase,An unusually large volume spike compared to recent history indicates potential significant price movement.,"signal = (Volume_t - avg(Volume, 20)) / stddev(Volume, 20)"
Short-Term Reversal,Earnings Surprise Reversal,Stocks that had negative earnings surprises will outperform stocks with positive surprises in the following trading week.,EarningsSurprise = Actual_Earnings - Expected_Earnings; Signal = Rank(EarningsSurprise) * -1; Buy stocks with highest Signal.
Smaller Cap Outperformance,Low Valuation Anomaly,Small-cap stocks with low Price-to-Book ratios relative to their industry peers will generate higher returns.,"Signal = 1 / (P/B_stock - avg(P/B_industry)), where avg(P/B_industry) is the average P/B ratio of the industry; Filter for small-cap stocks only."
Smaller Cap Outperformance,Low Beta Exposure,Small-cap stocks with low betas (low correlation to the market) tend to outperform during market downturns.,Signal = 1 - Beta; Filter for small-cap stocks only; Higher signal indicates stronger outperformance potential.
Post-Earnings Announcement Drift (PEAD),PEAD Short-Term Reversal,The immediate post-earnings price movement will often reverse itself in the short-term.,Signal = -1 * (Price_t - Price_t-1) / Price_t-1
Post-Earnings Announcement Drift (PEAD),PEAD Long-Term Continuation,The initial post-earnings price movement is a predictor of long-term price direction.,Signal = (Price_t - Price_t-1) / Price_t-1
Analyst Revisions,Upward Revisions,Stocks with upward revisions to earnings estimates prior to the announcement outperform.,Signal = Sum(Analyst_Revisions_Last_Month) / Number_of_Analysts
Price-to-Earnings Ratio,P/E Reversion,Stocks with unusually high or low P/E ratios relative to their sector will experience price reversion following earnings announcements.,Signal = 1 - (P/E_t / Avg_P/E_Sector)
Implied Volatility,IV Crush,A sharp decrease in implied volatility (IV) after earnings announcements is associated with higher subsequent returns.,Signal = -1 * (IV_Post_Announcement - IV_Pre_Announcement)
Mean Reversion,Correlation Reversion (to Market),The correlation between a stock and the market index reverts to its long-term average.,signal = (Correlation - MA200(Correlation)) / MA200(Correlation)
Mean Reversion,10-Day Return Reversion,10-day returns revert to their long-term average return after significantly exceeding it.,Signal = (10DayReturn - AvgReturn) / AvgReturn
Momentum,Volume-Weighted Average Price (VWAP) Momentum,Assets whose price is significantly above their VWAP over the last 10 days will outperform.,VWAP_Momentum = (Price[t] / VWAP_10[t]) -1 
